trail_name,latitude,longitude
Chemin des Crêtes des Franches-Montagnes,47.20432077617804,6.968015701890493
Oberaar Trail,46.55453351417586,8.304480085407032
Senda Leg Columban,46.455606541808386,9.62198581628184
Sentier des ponts historiques du Sépey,46.35075727542659,7.049612838538468
Hundsrügg-Panoramaweg,46.55453072755913,7.3170124105386485
Aussichtsweg Morteratschgletscher,46.43950797559551,9.935706695726612
Sentier des trois tours de Leysin,46.36711210306334,7.0159152568818195
Familienweg Lenzerheide,46.737670606218934,9.546087562957577
Tour du Lac de Joux,46.642569816374255,6.281299534080181
Aletschgletscher Aussichtsweg,46.4018765853954,8.050543221301345
Kapellenweg Engelbergertal,46.888237704507176,8.394173828105226
Hängebrückenweg Val Meltger,46.69127658659975,9.571214502860515
Höhenweg Elsigenalp-Adelboden,46.496776101479576,7.604305353428771
Chemin de la Sarine fribourgeoise,46.79235262545302,7.147700640839677
Senda quatter lags da Flem,46.82177529259182,9.295730326136537
Kulturspur Appenzellerland,47.38982252602195,9.385251460171448
Panoramawanderweg Scharmoin,46.75166445474719,9.566116230399244
Gorges de l'Areuse,46.96018837570155,6.782711126091684
Langenbruck-Bölcheflue-Rundweg,47.35578390536833,7.790117882429611
Glarus Rundweg,47.025200854395585,9.074775220238125
Neckerweg,47.316988258678144,9.177772490085774
Furner Rundweg,46.92074513349861,9.66060183739905
ViaJacobi,47.45374481490152,8.984211444879348
Aargauer Weg,47.42549480375003,8.174631230515125
Bruderklausenweg,46.90671370696576,8.298610409623937
Schmetterlingspfad Lungern,46.80464789453194,8.147076808630157
Senda Val Trupchun,46.607016020081105,10.041739246347928
Walenpfad,46.86479194774615,8.409824646172677
Bärgmandlipfad Giswil,46.81054953781691,8.119445680834923
Thurgauer Panoramaweg,47.49145067647306,9.19993495640346
Stammerjoch-Weg,46.92098120288623,10.35675397340962
Sentier du patrimoine de Romainmôtier,46.682522630855104,6.4790628056512825
Freiburger Voralpenweg,46.64740761064986,7.268655347660425
Seeland-Solothurn-Weg,47.136088406359725,7.374332819840116
Sentiero del Monte Bar,46.09663062161473,9.005737434951316
Tour de la Palette,46.3615426529142,7.197779778231685
Köhlerweg Romoos,46.998881270124755,7.994994404992618
Balmberg-Röti-Rundweg,47.25750440344997,7.526713188126195
Sentiero del Monte San Giorgio,45.906432738577166,8.94681277228058
Bernina-Tour,46.44893691297543,9.877095213260773
